iter	Passed	Remaining
786	27186	7357
787	27225	7324
788	27260	7290
789	27292	7254
790	27322	7219
791	27354	7184
792	27386	7148
793	27419	7113
794	27451	7078
795	27483	7043
796	27516	7008
797	27549	6973
798	27581	6938
799	27614	6903
800	27649	6869
801	27683	6834
802	27715	6799
803	27746	6764
804	27779	6729
805	27810	6693
806	27843	6658
807	27873	6623
808	27906	6588
809	27939	6553
810	27969	6518
811	28003	6483
812	28037	6448
813	28074	6415
814	28110	6380
815	28146	6346
816	28185	6313
817	28220	6278
818	28258	6245
819	28290	6210
820	28329	6176
821	28365	6142
822	28402	6108
823	28438	6074
824	28476	6040
825	28514	6006
826	28556	5973
827	28597	5940
828	28623	5904
829	28657	5869
830	28694	5835
831	28727	5800
832	28761	5766
833	28799	5732
834	28833	5697
835	28867	5663
836	28903	5628
837	28938	5594
838	28982	5561
839	29015	5526
840	29049	5492
841	29088	5458
842	29125	5424
843	29167	5391
844	29207	5357
845	29241	5322
846	29273	5287
847	29304	5252
848	29338	5218
849	29373	5183
850	29404	5148
851	29434	5113
852	29466	5078
853	29500	5043
854	29534	5008
855	29564	4973
856	29595	4938
857	29628	4903
858	29664	4869
859	29701	4835
860	29739	4801
861	29773	4766
862	29805	4731
863	29836	4696
864	29869	4661
865	29899	4626
866	29931	4591
867	29963	4556
868	29994	4521
869	30025	4486
870	30053	4451
871	30084	4416
872	30122	4382
873	30154	4347
874	30189	4312
875	30221	4277
876	30255	4243
877	30288	4208
878	30320	4173
879	30352	4139
880	30386	4104
881	30419	4069
882	30452	4035
883	30483	4000
884	30518	3965
885	30549	3930
886	30581	3895
887	30611	3860
888	30644	3826
889	30675	3791
890	30706	3756
891	30742	3722
892	30778	3687
893	30807	3652
894	30840	3618
895	30873	3583
896	30909	3549
897	30939	3514
898	30971	3479
899	31005	3445
900	31037	3410
901	31070	3375
902	31107	3341
903	31141	3307
904	31176	3272
905	31212	3238
906	31245	3203
907	31275	3168
908	31309	3134
909	31340	3099
910	31373	3065
911	31407	3030
912	31441	2996
913	31476	2961
914	31511	2927
915	31545	2892
916	31579	2858
917	31612	2823
918	31646	2789
919	31680	2754
920	31716	2720
921	31754	2686
922	31785	2651
923	31818	2617
924	31850	2582
925	31886	2548
926	31921	2513
927	31955	2479
928	31990	2444
929	32025	2410
930	32055	2375
931	32093	2341
932	32132	2307
933	32172	2273
934	32209	2239
935	32242	2204
936	32275	2170
937	32311	2135
938	32345	2101
939	32379	2066
940	32410	2032
941	32445	1997
942	32478	1963
943	32511	1928
944	32544	1894
945	32578	1859
946	32611	1825
947	32645	1790
948	32683	1756
949	32720	1722
950	32748	1687
951	32781	1652
952	32812	1618
953	32843	1583
954	32877	1549
955	32910	1514
956	32943	1480
957	32976	1445
958	33007	1411
959	33038	1376
960	33073	1342
961	33108	1307
962	33140	1273
963	33172	1238
964	33205	1204
965	33238	1169
966	33273	1135
967	33304	1100
968	33337	1066
969	33374	1032
970	33408	997
971	33442	963
972	33475	928
973	33506	894
974	33536	859
975	33567	825
976	33595	790
977	33626	756
978	33656	721
979	33691	687
980	33724	653
981	33759	618
982	33792	584
983	33822	549
984	33855	515
985	33893	481
986	33925	446
987	33960	412
988	33991	378
989	34021	343
990	34057	309
991	34092	274
992	34126	240
993	34157	206
994	34187	171
995	34217	137
996	34247	103
997	34280	68
998	34311	34
999	34343	0
